golden_id,system,candidate,groundedness,correctness,tone,actionability,overall,rationale,parse_ok
0,agent,"Hey! Tap the link, then choose “Annual” on the subscription screen. If you don’t see it, try an incognito window or clear cache and try again. Let us know if it works! /CB",2,2,4,3,2,"The candidate invents specific UI steps ('choose Annual') not found in the evidence or reference, and fails to address the core issue of the link not working as effectively as the reference's diagnostic question.",True
1,agent,Thanks for the feedback! We’ll pass your note about left‑handed usability on to the team. Let us know if you need anything else. /NY,5,5,5,4,5,"The reply accurately reflects the reference and evidence by acknowledging the feedback and promising to pass it on, maintaining a friendly and concise tone suitable for the platform.",True
2,agent,We’re sorry you’ve had a frustrating experience. We’ll look into this – please DM us with any details so we can help further.,4,4,4,4,4,"The reply is professional, concise, and correctly directs the user to DM for further assistance, aligning well with the reference's intent to move the conversation to a private channel, though it lacks the specific confirmation that a DM has already been sent.",True
3,agent,"Sure thing! Open the playlist, tap “Add Songs,” search for Vampire Weekend, and hit “Add.” Let us know if you need more help! 🎧",1,1,4,2,1,"The candidate invents a self-service feature ('Add Songs') that contradicts the reference reply stating curation is handled by an independent team, making the advice factually incorrect and ungrounded.",True
4,agent,Sorry to hear that! Please follow the “Downloads unexpectedly removed” steps here: https://support.spotify.com/us/article/downloads-unexpectedly-removed. Let us know if it helps!,2,1,4,3,1,"The candidate reply is incorrect because it treats a licensing/content removal issue as a technical 'Downloads unexpectedly removed' bug, whereas the reference correctly identifies it as a temporary licensing change.",True
5,agent,Hey! That album isn’t on Spotify right now. We’ll pass your request along to the team. Thanks for the heads‑up! /MT,2,3,4,2,2,"The candidate invents a specific action ('pass your request along') not supported by the evidence or reference, and fails to provide the helpful resource link (/KL) that the reference reply includes.",True
6,agent,We’re sorry the new Sufjan Stevens tracks aren’t available yet. New releases can take a bit to appear. We’ll pass your feedback along. Thanks for your patience!,4,3,5,2,3,"The reply is grounded in the provided evidence regarding new releases and feedback, but it fails to advance the issue by omitting the specific clarifying questions (song/album/country) present in the reference reply, leaving the customer without a concrete next step.",True
7,agent,Hey! Spotify no longer supports Facebook sync as we’ve shifted focus to other ways to share music. You can still share tracks directly from the app. Let us know if you need anything else!,1,1,4,2,1,"The candidate invents a policy about discontinued Facebook sync that is not supported by the evidence or reference, which instead asks for diagnostic details to troubleshoot the issue.",True
8,agent,Hey! You can update your card in the app: Settings → Account → View plan → Update payment method. Or use the web player’s account page. Let us know if you hit any snags!,1,2,4,3,1,"The candidate invents specific navigation steps ('Settings → Account → View plan') that are not present in the provided evidence or reference, which instead directs the user to a link or offers to check the account backstage.",True
9,agent,"Sorry you’re having trouble connecting. Please DM us your account email/username so we can investigate. If you haven’t already, try a clean reinstall of the app. /DD",5,2,4,4,2,"While the reply is grounded in the provided evidence and has a good tone, it is incorrect because it ignores the reference reply's confirmation that the issue was a temporary server hiccup that has already been resolved, instead suggesting unnecessary troubleshooting steps.",True
