golden_id,pair_id,customer_tweet_id,customer_text,reference_reply,intent,should_escalate,escalation_reason,notes
0,39351,558577,Hey I tried taking up your annual subscription offer but can't find where to go ahead with it after tapping the link in the app. Can you help?,"Hey Matt, help's here! Just to check, did you use the link here: Keep us posted /CG",subscription_plan,True,needs_account_access,"Sign-up flow for the annual plan. Brand answered in-thread with a link, but completing a purchase is an account+money operation; the taxonomy explicitly accepts pure how-to plan questions as the cost of this boundary."
1,18396,2939,"this layout looks nice, but really isn’t friendly to left handed users.. my thumb isn’t long enough to hit play!","Hey! We hear you 🎧 Rest assured, your feedback will be passed on to the right folks /RH",feature_request,False,none,"Design change request (left-handed layout), not a bug: nothing is broken. Weak label said other; brand's reply is the standard 'we'll pass your feedback on'."
2,22426,1746277,"could care less, their page is a PR stunt. They ignore emails and messages also.","Hey, sorry to hear about this. We've just sent you a DM with some more info /Q",other,True,out_of_scope,"Rant about the brand's responsiveness with no support content. Brand DM'd anyway, but there is nothing here to fix. Weak label agrees."
3,19664,1990826,Hey put some vampire weekend on the steve harrington morning hair playlist please thanks,"Hey! Our Curation team are independent & use taste, data, research, and trends to create playlists, but we’ll pass on your suggestion /AR",other,True,out_of_scope,"Asks for a song to be added to a Spotify editorial playlist - a curation suggestion, not the customer's own library. Weak label said library_playlist_issue; disagree (not their playlist, nothing lost)."
4,17272,2497513,put one step at a time back on spotify. now.,Hey! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon /NS,content_availability,False,none,Track pulled from the catalogue; standard licensing explainer applies.
5,26577,2350990,Hi when are you adding Wanna One's 1-1=0 Nothing Without you album?,"Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: /KL",content_availability,False,none,Release-date question about an album not yet on Spotify.
6,19911,1498038,Spotify doesn't have the new Sufjan Steven songs and I'm just like...,Hey there! Are you looking for a specific song/album from Sufjan Steven? Can you also let us know which country you're currently in? /MA,content_availability,False,none,"Catalogue gap for a specific artist. Weak label said other; disagree, the subject is plain."
7,18198,1969929,Why does Spotify not sync to Facebook anymore?,Hi Bilal. What's happening exactly? Can you DM us your account's email address or username? We'll take a look under the hood /ME,app_bug,True,needs_account_access,"HARD CALL. Facebook sync stopped working: an integration failure, so app_bug rather than feature_request (they ask why it broke, not for a feature). Brand did not understand it either and pulled it into DM for the account, so the reference-reply tiebreak escalates it. Weak label said library_playlist_issue; disagree."
8,31249,141186,"Hello, can you please help? I have lost my debit card therefore cancelled it. And obviously my Spotify payment hasn't gone through how do I update the details when my new debit card comes through? Can I do it on the app?",Hi! Help's here. You can find out more info on updating your payment details here: Let us know if there's anything else we can help with /SV,billing_and_refund,True,billing_dispute,"Payment failed after the card was cancelled; asks how to update payment details. Money, so billing beats the how-to framing (tie-break 5). Brand answered in-thread with a help link. Weak label said library_playlist_issue, a keyword artefact of the word 'lost'."
9,36256,2913873,Can't connect! Neither on Wi-Fi or Network data!,"Hey, thanks for the report. We had a little hiccup earlier but everything should be running just fine now. Let us know if not! /LP",app_bug,False,none,'Can't connect on Wi-Fi or data' - client cannot reach the service; brand confirms a transient outage. Weak label said other; disagree.
10,31593,2793286,my account got charged twice in 5 mins... whyyyy?,Hey there! Can you DM us your username or email address? We'll take a look backstage /NH,billing_and_refund,True,billing_dispute,Double charge. Weak label agrees.
11,34058,2073649,Really hope give us all the music facts about our 2017 music like they did a couple of years ago !!,"We hear you loud and clear, Ellen! We can’t make any promises but we’ll pass your feedback onto the right folks 🙂 /NJ",feature_request,False,none,Wants the year-in-review music stats brought back - a retired feature. Weak label said other; disagree.
12,26250,2311296,It’s been 10 days since the iPhone X released and still hasn’t updated its app to support the screen size. C’mon man.,Hey! We’re working on it as we speak. Stay tuned for any updates /YM,feature_request,False,none,"HARD CALL. The app runs, it just has not been adapted to the iPhone X screen. Missing device support that does not exist yet = feature_request, not app_bug (weak label); the brand's 'we're working on it, stay tuned' is the roadmap answer, not a diagnostic. Labelled the same way as row 39."
13,23094,2116861,"hi i live in the USA and theres a song on Seventeen’s new album that is listed but wont play. i, along with everyone else, is unable to listen to the song. please advise.","Hey there! We’d love to have all of their stuff available, but we have some info about content here: /GK",content_availability,False,none,"HARD CALL. Track is listed but will not play for anyone in the country - a licensing/greyed-out catalogue problem, not the customer's device. Brand answers with the content/licensing page, confirming the read. Weak label said playback_issue; disagree."
14,29970,2647472,hi just wanted to ask when will Perfect Velvet come out on Spotify?,"Hey! We don't have any info on this yet. Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: /MO",content_availability,False,none,Release-date question.
15,38882,504287,WHY IS POST MALONE’S NEW ALBUM NOT ON SPOTIFY YET???????,"Hey Maddy! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: 🙂 /JI",content_availability,False,none,"Album not in the catalogue yet. Shouting is frustration, not abuse."
