sheet_id,golden_id,system,customer_text,reference_reply,candidate
H001,78,agent,But when can I block Ch*** B***n (or artists in general) on from showing up in my rec'd list?,"Hey Heather! This isn't possible right now, but you can show your support for the idea on our Community: /DQ","Hey! Blocking specific artists isn’t possible right now, but you can share your idea with the community here: https://community.spotify.com/t5/Ideas/blk/idi-12345"
H002,116,agent,When that much needed iPhone X update coming ?,Hi Ben. We hear you - we’re working on it as we speak. Stay tuned! Give us a shout if you need anything else /NH,Hey! We don’t have a release date for the next iPhone X update yet. Keep an eye on the App Store for the latest version. /RB
H003,59,nn,Hey guys I’m already a premium subscriber. How do I say yes to the special 99$ yearly rate ending 12/31. ? Thx.,Hey there! Can you DM us your account's email address? We'll see what we can suggest /MV,"Hi there! Just send it over, and we'd be happy to answer your question. /NQ"
H004,29,nn,"When will you step up and be available in Serbia, I’m trying to catch up with BTS.","Hey Joseph! We're afraid we don't have much info on this, but we're launching in new countries as often as possible. Be sure to add your email at to be first to hear when we've reached you /AY","Hi Daniel. Don't worry, help's here. Can you tell us what device, operating system, and exact app version you're using? /JU"
H005,51,agent,Hey what's going on the past couple days? It's crashing all the time. Not amused with a premium account that doesn't play any music #silence,"Hey Danielle, that doesn't sound right. Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /RH",Sorry you’re experiencing crashes! Please DM us your Spotify username or email so we can investigate further. #WeGotYou
H006,2,canned,"could care less, their page is a PR stunt. They ignore emails and messages also.","Hey, sorry to hear about this. We've just sent you a DM with some more info /Q",Sorry to hear that! Can you send us a DM with more details so we can take a closer look?
H007,151,nn,Hey how do I change my account from a regular account to a student account? I’ve been a student for about 4 months and I haven’t had any help with this.,Hi there! Could you DM us your account's email address? We'll take a look backstage /AU,"Hi Yolanda, we're here to help. Can you DM us your account's email address? We'll take a look /AC"
H008,10,nn,my account got charged twice in 5 mins... whyyyy?,Hey there! Can you DM us your username or email address? We'll take a look backstage /NH,Hi! We've just sent you a DM 🙂 /AR
H009,21,agent,if I’m paying $10.68/month can y’all at least get the rights to Lemonade,"Hey! We're working on it, and we hope to have it available soon. There's more info here: /CE",Hey! We’re still working on getting Lemonade added. Hang tight – we’ll let you know when it’s available. Thanks for your patience!
H010,34,canned,"yo, I’ve closed the app, restarted my phone, even logged out but old mate in the red keeps popping up. All details are correct because I went, checked & fixed it up. Also thE photos where taken within ten minutes of each other. I had to crop cause personal details.",Hey! Can you DM us your account's email address or username? We'll take a look backstage /RH,Sorry to hear that! Can you send us a DM with more details so we can take a closer look?
H011,106,nn,"Hey, I'm currently buying premium per month, but want the yearly subscription offer you're doing. Do I need to cancel my subscription then resubscribe to do this?","1: Hey Nicola! If you're subscribed to Premium through our website, and using a recurring payment method such as a debit/credit card, you just need to cancel it at Afterwards, just head to to sign up for the annual...","Hey, help's here! Could you DM us your email address or the link to your Facebook profile? We'll do some digging 🔍 /JQ"
H012,15,canned,WHY IS POST MALONE’S NEW ALBUM NOT ON SPOTIFY YET???????,"Hey Maddy! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: 🙂 /JI",Sorry to hear that! Can you send us a DM with more details so we can take a closer look?
